merchantId,name,industry,country,Description
M76,Merchant 76,Tech,CN,"Merchant 76 operates in the Tech sector, located in CN."
M77,Merchant 77,Retail,CN,"Merchant 77 operates in the Retail sector, located in CN."
M78,Merchant 78,Retail,DE,"Merchant 78 operates in the Retail sector, located in DE."
M79,Merchant 79,Metals,US,"Merchant 79 operates in the Metals sector, located in US."
M80,Merchant 80,Energy,SG,"Merchant 80 operates in the Energy sector, located in SG."
M81,Merchant 81,Services,US,"Merchant 81 operates in the Services sector, located in US."
M82,Merchant 82,Services,CN,"Merchant 82 operates in the Services sector, located in CN."
M83,Merchant 83,Energy,DE,"Merchant 83 operates in the Energy sector, located in DE."
M84,Merchant 84,Metals,CN,"Merchant 84 operates in the Metals sector, located in CN."
M85,Merchant 85,Energy,DE,"Merchant 85 operates in the Energy sector, located in DE."
M86,Merchant 86,Retail,UK,"Merchant 86 operates in the Retail sector, located in UK."
M87,Merchant 87,Metals,DE,"Merchant 87 operates in the Metals sector, located in DE."
M88,Merchant 88,Metals,CN,"Merchant 88 operates in the Metals sector, located in CN."
M89,Merchant 89,Metals,UK,"Merchant 89 operates in the Metals sector, located in UK."
M90,Merchant 90,Tech,US,"Merchant 90 operates in the Tech sector, located in US."
M91,Merchant 91,Tech,SG,"Merchant 91 operates in the Tech sector, located in SG."
M92,Merchant 92,Retail,SG,"Merchant 92 operates in the Retail sector, located in SG."
M93,Merchant 93,Energy,CN,"Merchant 93 operates in the Energy sector, located in CN."
M94,Merchant 94,Tech,UK,"Merchant 94 operates in the Tech sector, located in UK."
M95,Merchant 95,Retail,SG,"Merchant 95 operates in the Retail sector, located in SG."
M96,Merchant 96,Tech,US,"Merchant 96 operates in the Tech sector, located in US."
M97,Merchant 97,Metals,US,"Merchant 97 operates in the Metals sector, located in US."
M98,Merchant 98,Metals,US,"Merchant 98 operates in the Metals sector, located in US."
M99,Merchant 99,Energy,CN,"Merchant 99 operates in the Energy sector, located in CN."
M100,Merchant 100,Services,DE,"Merchant 100 operates in the Services sector, located in DE."
M101,Merchant 101,Retail,SG,"Merchant 101 operates in the Retail sector, located in SG."
M102,Merchant 102,Metals,US,"Merchant 102 operates in the Metals sector, located in US."
M103,Merchant 103,Tech,CN,"Merchant 103 operates in the Tech sector, located in CN."
M104,Merchant 104,Retail,UK,"Merchant 104 operates in the Retail sector, located in UK."
M105,Merchant 105,Retail,UK,"Merchant 105 operates in the Retail sector, located in UK."
M106,Merchant 106,Metals,US,"Merchant 106 operates in the Metals sector, located in US."
M107,Merchant 107,Energy,SG,"Merchant 107 operates in the Energy sector, located in SG."
M108,Merchant 108,Metals,UK,"Merchant 108 operates in the Metals sector, located in UK."
M109,Merchant 109,Services,CN,"Merchant 109 operates in the Services sector, located in CN."
M110,Merchant 110,Services,US,"Merchant 110 operates in the Services sector, located in US."
M111,Merchant 111,Services,US,"Merchant 111 operates in the Services sector, located in US."
M112,Merchant 112,Services,UK,"Merchant 112 operates in the Services sector, located in UK."
M113,Merchant 113,Services,SG,"Merchant 113 operates in the Services sector, located in SG."
M114,Merchant 114,Retail,US,"Merchant 114 operates in the Retail sector, located in US."
M115,Merchant 115,Services,US,"Merchant 115 operates in the Services sector, located in US."
M116,Merchant 116,Metals,DE,"Merchant 116 operates in the Metals sector, located in DE."
M117,Merchant 117,Tech,SG,"Merchant 117 operates in the Tech sector, located in SG."
M118,Merchant 118,Retail,DE,"Merchant 118 operates in the Retail sector, located in DE."
M119,Merchant 119,Retail,US,"Merchant 119 operates in the Retail sector, located in US."
M120,Merchant 120,Services,UK,"Merchant 120 operates in the Services sector, located in UK."
M121,Merchant 121,Energy,SG,"Merchant 121 operates in the Energy sector, located in SG."
M122,Merchant 122,Metals,SG,"Merchant 122 operates in the Metals sector, located in SG."
M123,Merchant 123,Retail,US,"Merchant 123 operates in the Retail sector, located in US."
M124,Merchant 124,Metals,UK,"Merchant 124 operates in the Metals sector, located in UK."
M125,Merchant 125,Metals,CN,"Merchant 125 operates in the Metals sector, located in CN."
M126,Merchant 126,Services,UK,"Merchant 126 operates in the Services sector, located in UK."
M127,Merchant 127,Metals,UK,"Merchant 127 operates in the Metals sector, located in UK."
M128,Merchant 128,Metals,DE,"Merchant 128 operates in the Metals sector, located in DE."
M129,Merchant 129,Tech,CN,"Merchant 129 operates in the Tech sector, located in CN."
M130,Merchant 130,Tech,SG,"Merchant 130 operates in the Tech sector, located in SG."
M131,Merchant 131,Energy,US,"Merchant 131 operates in the Energy sector, located in US."
M132,Merchant 132,Tech,SG,"Merchant 132 operates in the Tech sector, located in SG."
M133,Merchant 133,Retail,US,"Merchant 133 operates in the Retail sector, located in US."
M134,Merchant 134,Energy,CN,"Merchant 134 operates in the Energy sector, located in CN."
M135,Merchant 135,Energy,UK,"Merchant 135 operates in the Energy sector, located in UK."
M136,Merchant 136,Services,CN,"Merchant 136 operates in the Services sector, located in CN."
M137,Merchant 137,Services,UK,"Merchant 137 operates in the Services sector, located in UK."
M138,Merchant 138,Services,DE,"Merchant 138 operates in the Services sector, located in DE."
M139,Merchant 139,Services,US,"Merchant 139 operates in the Services sector, located in US."
M140,Merchant 140,Energy,UK,"Merchant 140 operates in the Energy sector, located in UK."
M141,Merchant 141,Retail,CN,"Merchant 141 operates in the Retail sector, located in CN."
M142,Merchant 142,Metals,US,"Merchant 142 operates in the Metals sector, located in US."
M143,Merchant 143,Energy,SG,"Merchant 143 operates in the Energy sector, located in SG."
M144,Merchant 144,Retail,CN,"Merchant 144 operates in the Retail sector, located in CN."
M145,Merchant 145,Services,UK,"Merchant 145 operates in the Services sector, located in UK."
M146,Merchant 146,Tech,US,"Merchant 146 operates in the Tech sector, located in US."
M147,Merchant 147,Energy,CN,"Merchant 147 operates in the Energy sector, located in CN."
M148,Merchant 148,Energy,CN,"Merchant 148 operates in the Energy sector, located in CN."
M149,Merchant 149,Services,SG,"Merchant 149 operates in the Services sector, located in SG."
M150,Merchant 150,Metals,US,"Merchant 150 operates in the Metals sector, located in US."
M151,Merchant 151,Services,US,"Merchant 151 operates in the Services sector, located in US."
M152,Merchant 152,Metals,CN,"Merchant 152 operates in the Metals sector, located in CN."
M153,Merchant 153,Metals,CN,"Merchant 153 operates in the Metals sector, located in CN."
M154,Merchant 154,Metals,UK,"Merchant 154 operates in the Metals sector, located in UK."
M155,Merchant 155,Metals,DE,"Merchant 155 operates in the Metals sector, located in DE."
M156,Merchant 156,Services,US,"Merchant 156 operates in the Services sector, located in US."
M157,Merchant 157,Retail,CN,"Merchant 157 operates in the Retail sector, located in CN."
M158,Merchant 158,Services,UK,"Merchant 158 operates in the Services sector, located in UK."
M159,Merchant 159,Services,CN,"Merchant 159 operates in the Services sector, located in CN."
M160,Merchant 160,Tech,SG,"Merchant 160 operates in the Tech sector, located in SG."
M161,Merchant 161,Tech,UK,"Merchant 161 operates in the Tech sector, located in UK."
M162,Merchant 162,Retail,DE,"Merchant 162 operates in the Retail sector, located in DE."
M163,Merchant 163,Services,SG,"Merchant 163 operates in the Services sector, located in SG."
M164,Merchant 164,Retail,DE,"Merchant 164 operates in the Retail sector, located in DE."
M165,Merchant 165,Energy,UK,"Merchant 165 operates in the Energy sector, located in UK."
M166,Merchant 166,Tech,UK,"Merchant 166 operates in the Tech sector, located in UK."
M167,Merchant 167,Retail,US,"Merchant 167 operates in the Retail sector, located in US."
M168,Merchant 168,Metals,US,"Merchant 168 operates in the Metals sector, located in US."
M169,Merchant 169,Services,CN,"Merchant 169 operates in the Services sector, located in CN."
M170,Merchant 170,Services,UK,"Merchant 170 operates in the Services sector, located in UK."
M171,Merchant 171,Retail,US,"Merchant 171 operates in the Retail sector, located in US."
M172,Merchant 172,Metals,CN,"Merchant 172 operates in the Metals sector, located in CN."
M173,Merchant 173,Metals,UK,"Merchant 173 operates in the Metals sector, located in UK."
M174,Merchant 174,Retail,DE,"Merchant 174 operates in the Retail sector, located in DE."
M175,Merchant 175,Metals,UK,"Merchant 175 operates in the Metals sector, located in UK."
M176,Merchant 176,Services,UK,"Merchant 176 operates in the Services sector, located in UK."
M177,Merchant 177,Retail,CN,"Merchant 177 operates in the Retail sector, located in CN."
M178,Merchant 178,Retail,US,"Merchant 178 operates in the Retail sector, located in US."
M179,Merchant 179,Metals,UK,"Merchant 179 operates in the Metals sector, located in UK."
M180,Merchant 180,Energy,CN,"Merchant 180 operates in the Energy sector, located in CN."
M181,Merchant 181,Tech,UK,"Merchant 181 operates in the Tech sector, located in UK."
M182,Merchant 182,Services,DE,"Merchant 182 operates in the Services sector, located in DE."
M183,Merchant 183,Energy,SG,"Merchant 183 operates in the Energy sector, located in SG."
M184,Merchant 184,Retail,US,"Merchant 184 operates in the Retail sector, located in US."
M185,Merchant 185,Services,US,"Merchant 185 operates in the Services sector, located in US."
M186,Merchant 186,Energy,US,"Merchant 186 operates in the Energy sector, located in US."
M187,Merchant 187,Services,SG,"Merchant 187 operates in the Services sector, located in SG."
M188,Merchant 188,Services,SG,"Merchant 188 operates in the Services sector, located in SG."
M189,Merchant 189,Metals,CN,"Merchant 189 operates in the Metals sector, located in CN."
M190,Merchant 190,Energy,DE,"Merchant 190 operates in the Energy sector, located in DE."
M191,Merchant 191,Retail,US,"Merchant 191 operates in the Retail sector, located in US."
M192,Merchant 192,Energy,CN,"Merchant 192 operates in the Energy sector, located in CN."
M193,Merchant 193,Tech,US,"Merchant 193 operates in the Tech sector, located in US."
M194,Merchant 194,Retail,CN,"Merchant 194 operates in the Retail sector, located in CN."
M195,Merchant 195,Metals,SG,"Merchant 195 operates in the Metals sector, located in SG."
M196,Merchant 196,Retail,CN,"Merchant 196 operates in the Retail sector, located in CN."
M197,Merchant 197,Services,CN,"Merchant 197 operates in the Services sector, located in CN."
M198,Merchant 198,Metals,UK,"Merchant 198 operates in the Metals sector, located in UK."
M199,Merchant 199,Retail,CN,"Merchant 199 operates in the Retail sector, located in CN."
M200,Merchant 200,Retail,SG,"Merchant 200 operates in the Retail sector, located in SG."
